"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2020-01-01","0.05","0.8","2.0","30","24","24"
"USC00200228","ANN ARBOR SE, MI US","2020-01-02","0.00","0.0","1.0","37","23","30"
"USC00200228","ANN ARBOR SE, MI US","2020-01-03","0.00","0.0","0.0","47","30","40"
"USC00200228","ANN ARBOR SE, MI US","2020-01-04","0.00","0.0","0.0","43","33","33"
"USC00200228","ANN ARBOR SE, MI US","2020-01-05","0.02","0.2","0.0","35","29","29"
"USC00200228","ANN ARBOR SE, MI US","2020-01-06","0.04","0.6","0.0","39","29","31"
"USC00200228","ANN ARBOR SE, MI US","2020-01-07","0.00","0.0","0.0","45","25","25"
"USC00200228","ANN ARBOR SE, MI US","2020-01-08","0.02","0.4","0.0","43","23","23"
"USC00200228","ANN ARBOR SE, MI US","2020-01-09","0.00","0.1","0.0","25","12","19"
"USC00200228","ANN ARBOR SE, MI US","2020-01-10","0.01","0.0","0.0","48","19","41"
"USC00200228","ANN ARBOR SE, MI US","2020-01-11","1.09","0.0","0.0","54","41","53"
"USC00200228","ANN ARBOR SE, MI US","2020-01-12","1.54","0.5","1.0","53","22","22"
"USC00200228","ANN ARBOR SE, MI US","2020-01-13","0.02","0.3","1.0","31","21","30"
"USC00200228","ANN ARBOR SE, MI US","2020-01-14","0.00","0.0","0.0","37","30","32"
"USC00200228","ANN ARBOR SE, MI US","2020-01-15","0.00","0.0","0.0","40","24","24"
"USC00200228","ANN ARBOR SE, MI US","2020-01-16","0.03","0.0","0.0","41","24","33"
"USC00200228","ANN ARBOR SE, MI US","2020-01-17","0.00","0.0","0.0","34","16","16"
"USC00200228","ANN ARBOR SE, MI US","2020-01-18","0.71","5.7","5.0","30","15","30"
"USC00200228","ANN ARBOR SE, MI US","2020-01-19","0.31","1.3","4.0","38","16","16"
"USC00200228","ANN ARBOR SE, MI US","2020-01-20","0.02","0.8","5.0","21","8","11"
"USC00200228","ANN ARBOR SE, MI US","2020-01-21","0.00","0.0","4.0","26","11","19"
"USC00200228","ANN ARBOR SE, MI US","2020-01-22","0.00","0.0","4.0","34","15","16"
"USC00200228","ANN ARBOR SE, MI US","2020-01-23","0.00","0.0","4.0","31","16","24"
"USC00200228","ANN ARBOR SE, MI US","2020-01-24","0.12","0.0","4.0","38","24","33"
"USC00200228","ANN ARBOR SE, MI US","2020-01-25","0.52","0.1","2.0","37","33","33"
"USC00200228","ANN ARBOR SE, MI US","2020-01-26","0.05","0.3","2.0","35","32","33"
"USC00200228","ANN ARBOR SE, MI US","2020-01-27","0.05","0.3","2.0","35","32","33"
"USC00200228","ANN ARBOR SE, MI US","2020-01-28","0.00","0.0","1.0","35","31","31"
"USC00200228","ANN ARBOR SE, MI US","2020-01-29","0.00","0.0","1.0","34","28","29"
"USC00200228","ANN ARBOR SE, MI US","2020-01-30","0.00","0.0","1.0","32","28","28"
"USC00200228","ANN ARBOR SE, MI US","2020-01-31","0.00","0.1","1.0","33","28","29"
"USC00200228","ANN ARBOR SE, MI US","2020-02-01","0.01","0.1","1.0","33","18","20"
"USC00200228","ANN ARBOR SE, MI US","2020-02-02","0.09","1.2","1.0","34","19","33"
"USC00200228","ANN ARBOR SE, MI US","2020-02-03","0.00","0.0","0.0","52","27","28"
"USC00200228","ANN ARBOR SE, MI US","2020-02-04","0.00","0.0","0.0","54","27","35"
"USC00200228","ANN ARBOR SE, MI US","2020-02-05","0.00","0.0","0.0","35","22","22"
"USC00200228","ANN ARBOR SE, MI US","2020-02-06","0.15","1.6","2.0","31","21","23"
"USC00200228","ANN ARBOR SE, MI US","2020-02-07","0.10","1.4","3.0","28","23","26"
"USC00200228","ANN ARBOR SE, MI US","2020-02-08","0.07","1.4","3.0","36","23","23"
"USC00200228","ANN ARBOR SE, MI US","2020-02-09","0.00","0.1","3.0","34","22","23"
"USC00200228","ANN ARBOR SE, MI US","2020-02-10","0.22","1.6","3.0","35","22","34"
"USC00200228","ANN ARBOR SE, MI US","2020-02-11","0.00","0.0","2.0","34","26","26"
"USC00200228","ANN ARBOR SE, MI US","2020-02-12","0.00","0.0","2.0","38","19","22"
"USC00200228","ANN ARBOR SE, MI US","2020-02-13","0.09","1.1","3.0","33","22","29"
"USC00200228","ANN ARBOR SE, MI US","2020-02-14","0.06","1.3","4.0","33","1","1"
"USC00200228","ANN ARBOR SE, MI US","2020-02-15","0.00","0.0","3.0","22","1","7"
"USC00200228","ANN ARBOR SE, MI US","2020-02-16","0.01","0.2","3.0","33","7","30"
"USC00200228","ANN ARBOR SE, MI US","2020-02-17","0.00","0.0","2.0","43","19","20"
"USC00200228","ANN ARBOR SE, MI US","2020-02-18","0.10","1.3","2.0","35","20","35"
"USC00200228","ANN ARBOR SE, MI US","2020-02-19","0.00","0.0","1.0","40","20","20"
"USC00200228","ANN ARBOR SE, MI US","2020-02-20","0.00","0.0","0.0","31","14","14"
"USC00200228","ANN ARBOR SE, MI US","2020-02-21","0.00","0.0","0.0","25","11","12"
"USC00200228","ANN ARBOR SE, MI US","2020-02-22","0.00","0.0","0.0","38","12","22"
"USC00200228","ANN ARBOR SE, MI US","2020-02-23","0.00","0.0","0.0","48","22","27"
"USC00200228","ANN ARBOR SE, MI US","2020-02-24","0.00","0.0","0.0","52","27","29"
"USC00200228","ANN ARBOR SE, MI US","2020-02-25","0.14","0.2","0.0","48","29","34"
"USC00200228","ANN ARBOR SE, MI US","2020-02-26","0.21","2.3","2.0","40","29","29"
"USC00200228","ANN ARBOR SE, MI US","2020-02-27","0.42","4.6","6.0","31","18","21"
