Identification,Latitude,Longitude,Time of Observation,Ice Accretion On Ship,Thickness of Ice Accretion On Ship,Rate of Ice Accretion on Ship,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Wet Bulb Temperature,Dew Point Temperature,Sea Surface Temperature,Wave Direction,Wave Period,Wave Height,Swell Direction,Swell Period,Swell Height,Total Cloud Amount,Low Cloud Amount,Low Cloud Type,Cloud Height Indicator,Cloud Height,Middle Cloud Type,High Cloud Type,Visibility,Visibility Indicator,Present Weather,Past Weather,Wind Direction,Wind Speed
CHSV3, 17.8, 295.3,2018-07-01T00:06:00, , , , , , ,27.8, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T00:12:00, , , , , , ,27.8, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T00:18:00, , , , , , ,27.9, , ,28.9, , , , , , , , , , ,A, , , , , , , 30,4.1
CHSV3, 17.8, 295.3,2018-07-01T00:24:00, , , , , , ,27.8, , ,28.9, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T00:30:00, , , ,1017.40, , ,27.8, , , , , , , , , , , , , , , , , , , , , 41,3.4
CHSV3, 17.8, 295.3,2018-07-01T00:36:00, , , , , , ,27.8, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T00:48:00, , , , , , , , , , , , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T00:54:00, , , , , , ,27.8, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T01:00:00, , , ,1017.70, , ,27.7, , , , , , , , , , , , , , , , , , , , , 44,3.5
CHSV3, 17.8, 295.3,2018-07-01T01:06:00, , , , , , ,27.7, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,2.6
CHSV3, 17.8, 295.3,2018-07-01T01:18:00, , , , , , ,27.7, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T01:24:00, , , , , , ,27.7, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T01:30:00, , , ,1017.90, , ,27.7, , , , , , , , , , , , , , , , , , , , , 38,2.2
CHSV3, 17.8, 295.3,2018-07-01T01:36:00, , , , , , ,27.7, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,2.6
CHSV3, 17.8, 295.3,2018-07-01T01:42:00, , , , , , ,27.7, , ,28.9, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T01:48:00, , , , , , , , , ,28.8, , , , , , , , , , ,A, , , , , , , 30,3.1
CHSV3, 17.8, 295.3,2018-07-01T01:54:00, , , , , , , , , ,28.7, , , , , , , , , , , , , , , , , , , 
CHSV3, 17.8, 295.3,2018-07-01T02:00:00, , , ,1018.10, , ,27.7, , , , , , , , , , , , , , , , , , , , , 47,4.1
CHSV3, 17.8, 295.3,2018-07-01T02:06:00, , , , , , ,27.8, , ,28.8, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T02:12:00, , , , , , ,27.7, , ,28.8, , , , , , , , , , ,A, , , , , , , 40,4.6
CHSV3, 17.8, 295.3,2018-07-01T02:18:00, , , , , , ,27.7, , ,28.8, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T02:24:00, , , , , , ,27.7, , ,28.8, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T02:30:00, , , ,1018.10, , ,27.7, , , , , , , , , , , , , , , , , , , , , 44,3.2
CHSV3, 17.8, 295.3,2018-07-01T02:36:00, , , , , , ,27.7, , ,28.8, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T02:42:00, , , , , , ,27.7, , ,28.8, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T02:48:00, , , , , , ,27.7, , ,28.8, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T02:54:00, , , , , , ,27.6, , ,28.7, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T03:00:00, , , ,1018.00, , ,27.7, , , , , , , , , , , , , , , , , , , , , 51,3.2
CHSV3, 17.8, 295.3,2018-07-01T03:06:00, , , , , , ,27.7, , ,28.7, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T03:12:00, , , , , , ,27.7, , ,28.7, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T03:18:00, , , , , , ,27.6, , ,28.7, , , , , , , , , , ,A, , , , , , , 50,1.5
CHSV3, 17.8, 295.3,2018-07-01T03:24:00, , , , , , ,27.5, , ,28.7, , , , , , , , , , ,A, , , , , , , 60,2.6
CHSV3, 17.8, 295.3,2018-07-01T03:30:00, , , ,1017.90, , ,27.5, , , , , , , , , , , , , , , , , , , , , 51,1.8
CHSV3, 17.8, 295.3,2018-07-01T03:36:00, , , , , , ,27.5, , ,28.6, , , , , , , , , , ,A, , , , , , , 40,4.6
CHSV3, 17.8, 295.3,2018-07-01T03:42:00, , , , , , ,27.5, , ,28.6, , , , , , , , , , ,A, , , , , , , 70,2.1
CHSV3, 17.8, 295.3,2018-07-01T03:48:00, , , , , , ,27.5, , ,28.6, , , , , , , , , , ,A, , , , , , , 40,2.6
CHSV3, 17.8, 295.3,2018-07-01T03:54:00, , , , , , ,27.4, , ,28.6, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T04:00:00, , , ,1017.70, , ,27.5, , , , , , , , , , , , , , , , , , , , , 44,2.3
CHSV3, 17.8, 295.3,2018-07-01T04:06:00, , , , , , ,27.4, , ,28.5, , , , , , , , , , ,A, , , , , , , 40,2.6
CHSV3, 17.8, 295.3,2018-07-01T04:12:00, , , , , , ,27.4, , ,28.5, , , , , , , , , , ,A, , , , , , , 40,2.1
CHSV3, 17.8, 295.3,2018-07-01T04:18:00, , , , , , , , , ,28.5, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T04:24:00, , , , , , , , , ,28.4, , , , , , , , , , , , , , , , , , , 
CHSV3, 17.8, 295.3,2018-07-01T04:30:00, , , ,1017.40, , ,27.5, , , , , , , , , , , , , , , , , , , , , 39,3.2
CHSV3, 17.8, 295.3,2018-07-01T04:36:00, , , , , , ,27.4, , ,28.4, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T04:42:00, , , , , , ,27.4, , ,28.4, , , , , , , , , , ,A, , , , , , , 80,2.1
CHSV3, 17.8, 295.3,2018-07-01T04:48:00, , , , , , ,26.9, , ,28.4, , , , , , , , , , ,A, , , , , , , 90,2.1
CHSV3, 17.8, 295.3,2018-07-01T04:54:00, , , , , , ,26.8, , ,28.4, , , , , , , , , , ,A, , , , , , , 70,2.6
CHSV3, 17.8, 295.3,2018-07-01T05:00:00, , , ,1017.20, , ,26.9, , , , , , , , , , , , , , , , , , , , , 66,1.3
CHSV3, 17.8, 295.3,2018-07-01T05:06:00, , , , , , ,27.1, , ,28.4, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T05:12:00, , , , , , ,27.1, , ,28.4, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T05:18:00, , , , , , ,27.2, , ,28.4, , , , , , , , , , ,A, , , , , , , 60,2.6
CHSV3, 17.8, 295.3,2018-07-01T05:24:00, , , , , , ,27.2, , ,28.4, , , , , , , , , , ,A, , , , , , , 60,2.6
CHSV3, 17.8, 295.3,2018-07-01T05:30:00, , , ,1016.80, , ,27.2, , , , , , , , , , , , , , , , , , , , , 43,2.5
CHSV3, 17.8, 295.3,2018-07-01T05:36:00, , , , , , ,27.3, , ,28.3, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T05:42:00, , , , , , ,27.2, , ,28.3, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T05:54:00, , , , , , ,27.2, , ,28.3, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T06:00:00, , , ,1016.50, , ,27.2, , , , , , , , , , , , , , , , , , , , , 62,2.8
CHSV3, 17.8, 295.3,2018-07-01T06:06:00, , , , , , ,27.2, , ,28.2, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T06:12:00, , , , , , ,27.3, , ,28.2, , , , , , , , , , ,A, , , , , , , 60,2.6
CHSV3, 17.8, 295.3,2018-07-01T06:18:00, , , , , , ,27.3, , ,28.2, , , , , , , , , , ,A, , , , , , , 60,3.1
CHSV3, 17.8, 295.3,2018-07-01T06:24:00, , , , , , ,27.3, , ,28.2, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T06:30:00, , , ,1016.30, , ,27.3, , , , , , , , , , , , , , , , , , , , , 68,2.8
CHSV3, 17.8, 295.3,2018-07-01T06:36:00, , , , , , ,27.2, , ,28.2, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T06:42:00, , , , , , ,27.1, , ,28.2, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T06:48:00, , , , , , , , , , , , , , , , , , , , ,A, , , , , , , 60,2.6
CHSV3, 17.8, 295.3,2018-07-01T06:54:00, , , , , , ,27.2, , ,28.2, , , , , , , , , , ,A, , , , , , , 70,2.6
CHSV3, 17.8, 295.3,2018-07-01T07:00:00, , , ,1016.20, , ,27.1, , , , , , , , , , , , , , , , , , , , , 77,2.1
CHSV3, 17.8, 295.3,2018-07-01T07:06:00, , , , , , ,27.1, , ,28.2, , , , , , , , , , ,A, , , , , , , 70,2.6
CHSV3, 17.8, 295.3,2018-07-01T07:12:00, , , , , , ,27.1, , ,28.2, , , , , , , , , , ,A, , , , , , , 70,1.5
CHSV3, 17.8, 295.3,2018-07-01T07:18:00, , , , , , ,27.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 80,1.5
CHSV3, 17.8, 295.3,2018-07-01T07:24:00, , , , , , ,27.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 70,2.6
CHSV3, 17.8, 295.3,2018-07-01T07:30:00, , , ,1016.10, , ,26.9, , , , , , , , , , , , , , , , , , , , , 82,1.3
CHSV3, 17.8, 295.3,2018-07-01T07:36:00, , , , , , ,26.9, , ,28.1, , , , , , , , , , ,A, , , , , , , 80,2.1
CHSV3, 17.8, 295.3,2018-07-01T07:42:00, , , , , , ,26.9, , ,28.1, , , , , , , , , , ,A, , , , , , , 70,1.5
CHSV3, 17.8, 295.3,2018-07-01T07:48:00, , , , , , ,27.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 60,1.5
CHSV3, 17.8, 295.3,2018-07-01T07:54:00, , , , , , ,26.9, , ,28.1, , , , , , , , , , ,A, , , , , , , 50,1.5
CHSV3, 17.8, 295.3,2018-07-01T08:00:00, , , ,1016.00, , ,27.0, , , , , , , , , , , , , , , , , , , , , 48,1.7
CHSV3, 17.8, 295.3,2018-07-01T08:06:00, , , , , , ,27.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 60,2.1
CHSV3, 17.8, 295.3,2018-07-01T08:12:00, , , , , , ,27.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 60,3.1
CHSV3, 17.8, 295.3,2018-07-01T08:18:00, , , , , , ,27.1, , ,28.1, , , , , , , , , , ,A, , , , , , , 50,1.5
CHSV3, 17.8, 295.3,2018-07-01T08:24:00, , , , , , ,27.1, , ,28.1, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T08:30:00, , , ,1016.00, , ,27.1, , , , , , , , , , , , , , , , , , , , , 47,3.0
CHSV3, 17.8, 295.3,2018-07-01T08:36:00, , , , , , ,27.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T08:42:00, , , , , , ,27.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 60,1.5
CHSV3, 17.8, 295.3,2018-07-01T08:48:00, , , , , , ,27.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 60,2.1
CHSV3, 17.8, 295.3,2018-07-01T08:54:00, , , , , , ,27.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T09:00:00, , , ,1015.90, , ,26.9, , , , , , , , , , , , , , , , , , , , , 56,2.1
CHSV3, 17.8, 295.3,2018-07-01T09:06:00, , , , , , ,26.9, , ,28.0, , , , , , , , , , ,A, , , , , , , 60,1.5
CHSV3, 17.8, 295.3,2018-07-01T09:12:00, , , , , , ,26.8, , ,28.0, , , , , , , , , , ,A, , , , , , , 60,1.5
CHSV3, 17.8, 295.3,2018-07-01T09:18:00, , , , , , ,26.9, , ,28.0, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T09:24:00, , , , , , ,27.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T09:30:00, , , ,1015.90, , ,27.0, , , , , , , , , , , , , , , , , , , , , 49,3.6
CHSV3, 17.8, 295.3,2018-07-01T09:36:00, , , , , , ,27.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T09:42:00, , , , , , ,27.0, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T09:48:00, , , , , , ,27.1, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T09:54:00, , , , , , ,27.1, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T10:00:00, , , ,1016.20, , ,27.1, , , , , , , , , , , , , , , , , , , , , 45,3.0
CHSV3, 17.8, 295.3,2018-07-01T10:06:00, , , , , , ,27.1, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T10:12:00, , , , , , ,27.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T10:18:00, , , , , , ,27.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,2.6
CHSV3, 17.8, 295.3,2018-07-01T10:24:00, , , , , , ,27.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,2.6
CHSV3, 17.8, 295.3,2018-07-01T10:30:00, , , ,1016.30, , ,27.3, , , , , , , , , , , , , , , , , , , , , 43,3.6
CHSV3, 17.8, 295.3,2018-07-01T10:36:00, , , , , , ,27.3, , ,27.9, , , , , , , , , , ,A, , , , , , , 60,3.1
CHSV3, 17.8, 295.3,2018-07-01T10:42:00, , , , , , ,27.3, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,4.1
CHSV3, 17.8, 295.3,2018-07-01T10:48:00, , , , , , ,27.5, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T10:54:00, , , , , , ,27.5, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T11:00:00, , , ,1016.30, , ,27.7, , , , , , , , , , , , , , , , , , , , , 46,3.4
CHSV3, 17.8, 295.3,2018-07-01T11:06:00, , , , , , ,27.7, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,4.6
CHSV3, 17.8, 295.3,2018-07-01T11:12:00, , , , , , ,27.8, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T11:18:00, , , , , , ,28.0, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T11:24:00, , , , , , ,28.0, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T11:30:00, , , ,1016.50, , ,28.0, , , , , , , , , , , , , , , , , , , , , 42,4.1
CHSV3, 17.8, 295.3,2018-07-01T11:36:00, , , , , , ,28.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 60,2.6
CHSV3, 17.8, 295.3,2018-07-01T11:42:00, , , , , , ,28.3, , ,27.9, , , , , , , , , , ,A, , , , , , , 60,3.1
CHSV3, 17.8, 295.3,2018-07-01T11:48:00, , , , , , ,28.1, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,5.1
CHSV3, 17.8, 295.3,2018-07-01T11:54:00, , , , , , ,28.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T12:00:00, , , ,1016.50, , ,28.4, , , , , , , , , , , , , , , , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T12:06:00, , , , , , ,28.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,5.1
CHSV3, 17.8, 295.3,2018-07-01T12:12:00, , , , , , ,28.4, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T12:18:00, , , , , , ,28.5, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,4.1
CHSV3, 17.8, 295.3,2018-07-01T12:24:00, , , , , , ,28.4, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,5.1
CHSV3, 17.8, 295.3,2018-07-01T12:30:00, , , ,1016.70, , ,28.7, , , , , , , , , , , , , , , , , , , , , 32,3.0
CHSV3, 17.8, 295.3,2018-07-01T12:36:00, , , , , , ,28.7, , ,27.9, , , , , , , , , , ,A, , , , , , , 30,3.6
CHSV3, 17.8, 295.3,2018-07-01T12:42:00, , , , , , ,28.6, , ,27.9, , , , , , , , , , ,A, , , , , , , 60,4.6
CHSV3, 17.8, 295.3,2018-07-01T12:48:00, , , , , , ,28.7, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T12:54:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,2.1
CHSV3, 17.8, 295.3,2018-07-01T13:00:00, , , ,1016.70, , ,29.1, , , , , , , , , , , , , , , , , , , , , 53,3.4
CHSV3, 17.8, 295.3,2018-07-01T13:06:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,3.1
CHSV3, 17.8, 295.3,2018-07-01T13:12:00, , , , , , ,29.0, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T13:18:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T13:24:00, , , , , , ,28.9, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,5.7
CHSV3, 17.8, 295.3,2018-07-01T13:30:00, , , ,1016.70, , ,28.9, , , , , , , , , , , , , , , , , , , , , 42,5.0
CHSV3, 17.8, 295.3,2018-07-01T13:36:00, , , , , , ,28.9, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,5.1
CHSV3, 17.8, 295.3,2018-07-01T13:42:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T13:48:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T13:54:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T14:00:00, , , ,1016.70, , ,28.9, , , , , , , , , , , , , , , , , , , , , 46,5.1
CHSV3, 17.8, 295.3,2018-07-01T14:06:00, , , , , , ,29.2, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T14:12:00, , , , , , ,28.8, , ,27.9, , , , , , , , , , ,A, , , , , , , 40,5.1
CHSV3, 17.8, 295.3,2018-07-01T14:18:00, , , , , , ,29.4, , ,28.0, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T14:24:00, , , , , , ,29.4, , ,28.0, , , , , , , , , , ,A, , , , , , , 40,4.1
CHSV3, 17.8, 295.3,2018-07-01T14:30:00, , , ,1016.70, , ,29.4, , , , , , , , , , , , , , , , , , , , , 36,3.6
CHSV3, 17.8, 295.3,2018-07-01T14:36:00, , , , , , ,29.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 40,5.7
CHSV3, 17.8, 295.3,2018-07-01T14:42:00, , , , , , ,29.2, , ,28.0, , , , , , , , , , ,A, , , , , , , 40,4.6
CHSV3, 17.8, 295.3,2018-07-01T14:48:00, , , , , , ,29.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 40,5.1
CHSV3, 17.8, 295.3,2018-07-01T14:54:00, , , , , , ,29.0, , ,28.0, , , , , , , , , , ,A, , , , , , , 20,5.7
CHSV3, 17.8, 295.3,2018-07-01T15:00:00, , , ,1016.70, , ,29.1, , , , , , , , , , , , , , , , , , , , , 46,5.2
CHSV3, 17.8, 295.3,2018-07-01T15:06:00, , , , , , ,29.2, , ,28.0, , , , , , , , , , ,A, , , , , , , 50,5.1
CHSV3, 17.8, 295.3,2018-07-01T15:12:00, , , , , , ,29.2, , ,28.1, , , , , , , , , , ,A, , , , , , , 50,5.1
CHSV3, 17.8, 295.3,2018-07-01T15:18:00, , , , , , ,29.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 30,5.7
CHSV3, 17.8, 295.3,2018-07-01T15:24:00, , , , , , , , , ,28.1, , , , , , , , , , , , , , , , , , , 
CHSV3, 17.8, 295.3,2018-07-01T15:30:00, , , ,1016.70, , ,29.4, , , , , , , , , , , , , , , , , , , , , 30,3.6
CHSV3, 17.8, 295.3,2018-07-01T15:36:00, , , , , , ,29.4, , ,28.1, , , , , , , , , , ,A, , , , , , , 50,4.6
CHSV3, 17.8, 295.3,2018-07-01T15:42:00, , , , , , ,29.6, , ,28.1, , , , , , , , , , ,A, , , , , , , 50,4.6
CHSV3, 17.8, 295.3,2018-07-01T15:48:00, , , , , , ,29.0, , ,28.1, , , , , , , , , , ,A, , , , , , , 30,5.7
CHSV3, 17.8, 295.3,2018-07-01T15:54:00, , , , , , ,29.2, , ,28.1, , , , , , , , , , ,A, , , , , , , 30,5.1
CHSV3, 17.8, 295.3,2018-07-01T16:00:00, , , ,1016.50, , ,29.4, , , , , , , , , , , , , , , , , , , , , 45,4.8
CHSV3, 17.8, 295.3,2018-07-01T16:06:00, , , , , , ,29.4, , ,28.2, , , , , , , , , , ,A, , , , , , , 30,5.1
CHSV3, 17.8, 295.3,2018-07-01T16:12:00, , , , , , ,29.9, , ,28.2, , , , , , , , , , ,A, , , , , , , 40,3.6
CHSV3, 17.8, 295.3,2018-07-01T16:18:00, , , , , , ,29.4, , ,28.2, , , , , , , , , , ,A, , , , , , , 30,5.1
CHSV3, 17.8, 295.3,2018-07-01T16:24:00, , , , , , ,29.4, , ,28.2, , , , , , , , , , ,A, , , , , , , 30,5.1
CHSV3, 17.8, 295.3,2018-07-01T16:30:00, , , ,1016.40, , ,29.7, , , , , , , , , , , , , , , , , , , , , 27,3.9
CHSV3, 17.8, 295.3,2018-07-01T16:36:00, , , , , , ,29.5, , ,28.3, , , , , , , , , , ,A, , , , , , , 40,5.1
CHSV3, 17.8, 295.3,2018-07-01T16:42:00, , , , , , ,29.2, , ,28.3, , , , , , , , , , ,A, , , , , , , 30,5.1
CHSV3, 17.8, 295.3,2018-07-01T16:48:00, , , , , , ,29.3, , ,28.3, , , , , , , , , , ,A, , , , , , , 40,4.6
CHSV3, 17.8, 295.3,2018-07-01T16:54:00, , , , , , ,29.5, , ,28.3, , , , , , , , , , ,A, , , , , , , 40,3.1
CHSV3, 17.8, 295.3,2018-07-01T17:00:00, , , ,1016.10, , ,29.6, , , , , , , , , , , , , , , , , , , , , 27,4.1
CHSV3, 17.8, 295.3,2018-07-01T17:06:00, , , , , , ,29.8, , ,28.4, , , , , , , , , , ,A, , , , , , , 50,4.1
CHSV3, 17.8, 295.3,2018-07-01T17:12:00, , , , , , ,29.9, , ,28.4, , , , , , , , , , ,A, , , , , , , 50,5.1
